-1,5316336,7360413
-2,5316302,7360507
-3,5316268,7360601
-4,5316234,7360695
-5,5316200,7360789
-6,5316166,7360883
-7,5316132,7360977
-8,5316099,7361072
-9,5316065,7361166
-10,5316031,7361260
-11,5315997,7361354
-12,5315963,7361448
-13,5315929,7361542
-14,5315895,7361636
-15,5315861,7361730
-16,5315827,7361824
-17,5315815,7361858
-18,5315774,7361949
-19,5315733,7362040
-20,5315691,7362131
-21,5315650,7362222
-22,5315609,7362314
-23,5315568,7362405
-24,5315527,7362496
-25,5315516,7362519
-26,5315544,7362568
-27,5315504,7362660
-28,5315463,7362751
-29,5315423,7362843
-30,5315383,7362934
-31,5315343,7363026
-32,5315302,7363117
-33,5315262,7363209
